Сегмент;Регион;Бренд;Уровень скидки;Продано шт.;Затраты на ед.;Цена продажи;Валовая выручка;Сумма скидок;Выручка;Себестоимость продаж;Прибыль;Дата;Номер месяца;Название месяца;Год
Крупный бизнес;Краснодар;Сударушка;Высокая;4566;97,67;160,88;734578,08;161607,18;572970,9;395065,48;177905,42;05.09.2023;9;Сентябрь;2023
Средний бизнес;Казань;Аленка;Без скидки;7908;142,23;250,69;1982456,52;0;1982456,52;1002569,38;979887,14;28.07.2022;7;Июль;2022
Крупный бизнес;Санкт-Петербург;Аленка;Высокая;4141;132,01;259,76;1075666,16;236646,56;839019,6;505473,34;333546,26;22.06.2022;6;Июнь;2022
Партнёрский канал;Новосибирск;Аленка;Высокая;1556;116,65;213,99;332968,44;73253,06;259715,38;177353,76;82361,62;08.07.2022;7;Июль;2022
Средний бизнес;Санкт-Петербург;Аленка;Без скидки;1329;138,93;247,35;328728,15;0;328728,15;180687,13;148041,02;19.03.2024;3;Март;2024
Малый бизнес;Москва;Бабаевский;Без скидки;3331;233,14;473,56;1577428,36;0;1577428,36;709024,37;868403,99;02.07.2024;7;Июль;2024
Крупный бизнес;Москва;Победа;Средняя;11105;74,08;122,9;1364804,5;163776,54;1201027,96;778302,83;422725,13;05.05.2022;5;Май;2022
Госсектор;Новосибирск;Бабаевский;Средняя;7368;189,72;382;2814576;337749,12;2476826,88;1318315,67;1158511,21;09.02.2022;2;Февраль;2022
Малый бизнес;Краснодар;Бабаевский;Без скидки;6136;241,02;416,19;2553741,84;0;2553741,84;1370356,06;1183385,78;04.01.2023;1;Январь;2023
Госсектор;Краснодар;Победа;Средняя;980;70,64;136,61;133877,8;16065,34;117812,46;61406,67;56405,79;24.08.2024;8;Август;2024
Партнёрский канал;Краснодар;Победа;Средняя;3115;64,42;118,7;369750,5;44370,06;325380,44;183006,13;142374,31;25.04.2022;4;Апрель;2022
Крупный бизнес;Нижний Новгород;Красная Шапочка;Средняя;3385;113,18;179,79;608589,15;73030,7;535558,45;371074,02;164484,43;05.01.2024;1;Январь;2024
Партнёрский канал;Москва;Вдохновение;Низкая;9800;282,67;500,98;4909604;245480,2;4664123,8;2500318,7;2163805,1;05.10.2024;10;Октябрь;2024
Партнёрский канал;Новосибирск;Сударушка;Без скидки;1121;81,54;124,31;139351,51;0;139351,51;82837,64;56513,87;14.12.2024;12;Декабрь;2024
Малый бизнес;Москва;Красная Шапочка;Средняя;2637;127,57;189,2;498920,4;59870,45;439049,95;328426,31;110623,64;25.10.2023;10;Октябрь;2023
Госсектор;Москва;Сударушка;Средняя;2317;89,22;178,04;412518,68;49502,24;363016,44;205744,33;157272,11;05.02.2024;2;Февраль;2024
Малый бизнес;Санкт-Петербург;Красная Шапочка;Низкая;5785;125,99;184,97;1070051,45;53502,57;1016548,88;724364,77;292184,11;24.09.2024;9;Сентябрь;2024
Средний бизнес;Казань;Вдохновение;Низкая;4157;339,34;665,39;2766026,23;138301,31;2627724,92;1305411,5;1322313,42;27.08.2023;8;Август;2023
Крупный бизнес;Казань;Вдохновение;Высокая;9885;317,92;666,27;6586078,95;1448937,37;5137141,58;3129509,48;2007632,1;08.03.2022;3;Март;2022
Крупный бизнес;Краснодар;Победа;Средняя;10979;75,29;154,53;1696584,87;203590,18;1492994,69;741366,69;751628;09.06.2022;6;Июнь;2022
Крупный бизнес;Краснодар;Красная Шапочка;Средняя;10923;117,66;166,67;1820536,41;218464,37;1602072,04;1240315,72;361756,32;19.11.2023;11;Ноябрь;2023
Малый бизнес;Москва;Красная Шапочка;Средняя;4588;130,29;210,14;964122,32;115694,68;848427,64;582492,94;265934,7;03.01.2022;1;Январь;2022
Госсектор;Нижний Новгород;Бабаевский;Без скидки;3225;197,66;339,94;1096306,5;0;1096306,5;589928,48;506378,02;08.02.2024;2;Февраль;2024
Госсектор;Владивосток;Победа;Средняя;3164;68,8;134,12;424355,68;50922,68;373433;192434,02;180998,98;11.02.2022;2;Февраль;2022
Средний бизнес;Новосибирск;Аленка;Высокая;6100;138,94;226,69;1382809;304217,98;1078591,02;820275,79;258315,23;10.07.2022;7;Июль;2022
Средний бизнес;Владивосток;Вдохновение;Высокая;7566;344,92;508,33;3846024,78;846125,45;2999899,33;2575139,88;424759,45;18.11.2022;11;Ноябрь;2022
Госсектор;Санкт-Петербург;Красная Шапочка;Средняя;3612;105,22;185,77;671001,24;80520,15;590481,09;376660,31;213820,78;28.06.2023;6;Июнь;2023
Средний бизнес;Новосибирск;Сударушка;Высокая;1313;99,11;174,66;229328,58;50452,29;178876,29;122182,19;56694,1;22.04.2022;4;Апрель;2022
Средний бизнес;Москва;Бабаевский;Высокая;5325;224,79;408,85;2177126,25;478967,78;1698158,47;1122360,7;575797,77;18.07.2022;7;Июль;2022
Госсектор;Екатеринбург;Сударушка;Низкая;1842;87,26;125,36;230913,12;11545,66;219367,46;156583,63;62783,83;22.08.2024;8;Август;2024
Малый бизнес;Новосибирск;Аленка;Без скидки;3529;150,03;245,46;866228,34;0;866228,34;477775,66;388452,68;02.04.2022;4;Апрель;2022
Средний бизнес;Владивосток;Бабаевский;Низкая;4206;224,96;398,9;1677773,4;83888,67;1593884,73;849799,6;744085,13;18.07.2022;7;Июль;2022
Госсектор;Краснодар;Победа;Без скидки;10162;67,87;94,73;962646,26;0;962646,26;638969,76;323676,5;06.12.2024;12;Декабрь;2024
Малый бизнес;Владивосток;Победа;Средняя;8303;82,99;136,61;1134272,83;136112,74;998160,09;676988,56;321171,53;13.03.2022;3;Март;2022
Партнёрский канал;Казань;Аленка;Без скидки;3332;122;180;599760;0;599760;368059,62;231700,38;30.01.2023;1;Январь;2023
Крупный бизнес;Москва;Бабаевский;Высокая;11692;209,19;438,87;5131268,04;1128878,97;4002389,07;2336439,65;1665949,42;13.06.2023;6;Июнь;2023
Средний бизнес;Санкт-Петербург;Аленка;Без скидки;9615;140,88;224,65;2160009,75;0;2160009,75;1236909,57;923100,18;27.07.2024;7;Июль;2024
Госсектор;Нижний Новгород;Аленка;Без скидки;2951;121,58;217,74;642550,74;0;642550,74;348379,78;294170,96;25.07.2022;7;Июль;2022
Госсектор;Санкт-Петербург;Красная Шапочка;Низкая;7232;104,3;192,03;1388760,96;69438,05;1319322,91;715558,98;603763,93;26.08.2024;8;Август;2024
Госсектор;Казань;Красная Шапочка;Без скидки;2856;106,55;198,25;566202;0;566202;282459,52;283742,48;21.03.2024;3;Март;2024
Средний бизнес;Екатеринбург;Аленка;Без скидки;4900;145,13;198,13;970837;0;970837;695553,36;275283,64;13.09.2023;9;Сентябрь;2023
Средний бизнес;Новосибирск;Бабаевский;Высокая;4234;215,66;448,72;1899880,48;417973,71;1481906,77;852084,66;629822,11;20.10.2023;10;Октябрь;2023
Средний бизнес;Нижний Новгород;Победа;Высокая;3579;78,47;159,69;571530,51;125736,71;445793,8;260865;184928,8;19.09.2024;9;Сентябрь;2024
Партнёрский канал;Краснодар;Аленка;Средняя;1575;117,45;203,2;320040;38404,8;281635,2;165796,86;115838,34;09.12.2024;12;Декабрь;2024
Партнёрский канал;Москва;Сударушка;Средняя;3788;85,29;131,1;496606,8;59592,82;437013,98;302005,35;135008,63;09.01.2024;1;Январь;2024
Крупный бизнес;Новосибирск;Красная Шапочка;Без скидки;8775;114,29;233,42;2048260,5;0;2048260,5;964524,92;1083735,58;11.05.2023;5;Май;2023
Средний бизнес;Владивосток;Победа;Без скидки;3409;80,93;138,06;470646,54;0;470646,54;261036,45;209610,09;07.12.2023;12;Декабрь;2023
Крупный бизнес;Новосибирск;Вдохновение;Высокая;5170;310,93;431,33;2229976,1;490594,74;1739381,36;1579310,09;160071,27;15.03.2023;3;Март;2023
Крупный бизнес;Екатеринбург;Вдохновение;Средняя;4908;322,91;560,24;2749657,92;329958,95;2419698,97;1559097,45;860601,52;19.01.2022;1;Январь;2022
Малый бизнес;Казань;Вдохновение;Средняя;10349;364,87;553,81;5731379,69;687765,56;5043614,13;3598570,55;1445043,58;18.09.2023;9;Сентябрь;2023
Средний бизнес;Нижний Новгород;Бабаевский;Низкая;8020;217,22;369,28;2961625,6;148081,28;2813544,32;1674621,44;1138922,88;24.03.2024;3;Март;2024
Партнёрский канал;Санкт-Петербург;Аленка;Низкая;9698;119,85;216,54;2100004,92;105000,25;1995004,67;1064459,08;930545,59;10.08.2022;8;Август;2022
Малый бизнес;Санкт-Петербург;Красная Шапочка;Низкая;10995;127,45;198,52;2182727,4;109136,37;2073591,03;1343486,67;730104,36;04.09.2023;9;Сентябрь;2023
Крупный бизнес;Казань;Победа;Средняя;1430;76,37;149,06;213155,8;25578,7;187577,1;103967,5;83609,6;17.10.2023;10;Октябрь;2023
Крупный бизнес;Москва;Вдохновение;Без скидки;5343;315,38;524,77;2803846,11;0;2803846,11;1561379;1242467,11;14.03.2022;3;Март;2022
Партнёрский канал;Екатеринбург;Красная Шапочка;Средняя;11744;101,41;196,6;2308870,4;277064,45;2031805,95;1177600,27;854205,68;05.01.2024;1;Январь;2024
Партнёрский канал;Новосибирск;Сударушка;Средняя;5313;81,58;117,96;626721,48;75206,58;551514,9;394875,43;156639,47;10.01.2023;1;Январь;2023
Средний бизнес;Санкт-Петербург;Сударушка;Низкая;4159;101,21;159,94;665190,46;33259,52;631930,94;410228,44;221702,5;10.11.2023;11;Ноябрь;2023
Средний бизнес;Новосибирск;Победа;Низкая;8098;80,41;136,93;1108859,14;55442,96;1053416,18;640720,26;412695,92;26.05.2022;5;Май;2022
Малый бизнес;Екатеринбург;Победа;Высокая;11652;83,4;131,25;1529325;336451,5;1192873,5;861467,92;331405,58;05.11.2022;11;Ноябрь;2022
Крупный бизнес;Екатеринбург;Красная Шапочка;Без скидки;9829;117,71;246,01;2418032,29;0;2418032,29;1038019,75;1380012,54;05.01.2023;1;Январь;2023
Госсектор;Владивосток;Красная Шапочка;Средняя;5634;106,65;144,35;813267,9;97592,15;715675,75;548484,6;167191,15;12.12.2022;12;Декабрь;2022
Партнёрский канал;Казань;Бабаевский;Высокая;2620;186,07;339,6;889752;195745,44;694006,56;452601,68;241404,88;04.09.2024;9;Сентябрь;2024
Малый бизнес;Москва;Аленка;Средняя;6612;155,28;313,51;2072928,12;248751,37;1824176,75;996753,7;827423,05;23.12.2024;12;Декабрь;2024
Крупный бизнес;Москва;Вдохновение;Высокая;10767;324,49;493,13;5309530,71;1168096,76;4141433,95;3442209,35;699224,6;02.10.2023;10;Октябрь;2023
Крупный бизнес;Санкт-Петербург;Бабаевский;Низкая;3236;204,52;283,11;916143,96;45807,2;870336,76;657733,72;212603,04;22.07.2024;7;Июль;2024
Партнёрский канал;Краснодар;Бабаевский;Средняя;6115;190,3;326,87;1998810,05;239857,21;1758952,84;1128790,11;630162,73;04.12.2022;12;Декабрь;2022
Малый бизнес;Москва;Сударушка;Средняя;2649;104,56;142,87;378462,63;45415,52;333047,11;260514,68;72532,43;10.09.2022;9;Сентябрь;2022
Средний бизнес;Москва;Бабаевский;Низкая;9261;222,13;398,82;3693472,02;184673,6;3508798,42;1822127,8;1686670,62;10.08.2022;8;Август;2022
Госсектор;Москва;Вдохновение;Высокая;7328;293,42;423,32;3102088,96;682459,57;2419629,39;1957371,94;462257,45;10.11.2022;11;Ноябрь;2022
Крупный бизнес;Москва;Красная Шапочка;Без скидки;11340;112,25;195,34;2215155,6;0;2215155,6;1215297,44;999858,16;08.10.2022;10;Октябрь;2022
Малый бизнес;Санкт-Петербург;Победа;Высокая;5131;82,05;117,31;601917,61;132421,87;469495,74;380514,32;88981,42;14.02.2023;2;Февраль;2023
Средний бизнес;Екатеринбург;Красная Шапочка;Без скидки;5339;118,29;208,32;1112220,48;0;1112220,48;624756,59;487463,89;11.09.2024;9;Сентябрь;2024
Средний бизнес;Екатеринбург;Аленка;Высокая;11504;138,25;198,09;2278827,36;501342,02;1777485,34;1509154,48;268330,86;08.10.2024;10;Октябрь;2024
Крупный бизнес;Санкт-Петербург;Победа;Высокая;2159;76,82;140,83;304051,97;66891,43;237160,54;155042,36;82118,18;30.08.2023;8;Август;2023
Средний бизнес;Владивосток;Аленка;Высокая;3362;144,93;288,29;969230,98;213230,82;756000,16;449846,05;306154,11;03.10.2023;10;Октябрь;2023
Малый бизнес;Санкт-Петербург;Аленка;Высокая;658;154,39;285,24;187687,92;41291,34;146396,58;91476,64;54919,94;03.01.2024;1;Январь;2024
Малый бизнес;Новосибирск;Вдохновение;Высокая;6605;365,17;543,06;3586911,3;789120,49;2797790,81;2238512,64;559278,17;23.07.2024;7;Июль;2024
Средний бизнес;Нижний Новгород;Вдохновение;Без скидки;7409;339;660,26;4891866,34;0;4891866,34;2244327,91;2647538,43;01.05.2022;5;Май;2022
Крупный бизнес;Санкт-Петербург;Бабаевский;Без скидки;9821;212,25;315,39;3097445,19;0;3097445,19;1929357,57;1168087,62;05.01.2024;1;Январь;2024
Партнёрский канал;Москва;Вдохновение;Средняя;8414;288,7;414,2;3485078,8;418209,46;3066869,34;2257514,33;809355,01;05.04.2022;4;Апрель;2022
Госсектор;Новосибирск;Вдохновение;Низкая;702;298,01;553,84;388795,68;19439,78;369355,9;203366,98;165988,92;04.04.2023;4;Апрель;2023
Средний бизнес;Санкт-Петербург;Бабаевский;Средняя;8395;218,46;405,73;3406103,35;408732,4;2997370,95;1698597,43;1298773,52;22.04.2022;4;Апрель;2022
Госсектор;Казань;Победа;Без скидки;8623;70,53;99,18;855229,14;0;855229,14;571079,83;284149,31;09.05.2023;5;Май;2023
Средний бизнес;Новосибирск;Аленка;Средняя;9519;142,97;236,25;2248863,75;269863,65;1979000,1;1235997,92;743002,18;29.07.2024;7;Июль;2024
Малый бизнес;Владивосток;Аленка;Без скидки;7824;149,53;311,85;2439914,4;0;2439914,4;1134156,63;1305757,77;06.02.2022;2;Февраль;2022
Госсектор;Нижний Новгород;Бабаевский;Высокая;9628;193,77;381,62;3674237,36;808332,22;2865905,14;1819003,23;1046901,91;16.09.2023;9;Сентябрь;2023
Партнёрский канал;Екатеринбург;Вдохновение;Без скидки;6084;279,29;388,41;2363086,44;0;2363086,44;1540750,22;822336,22;19.07.2024;7;Июль;2024
Средний бизнес;Владивосток;Вдохновение;Низкая;7914;328,22;630,01;4985899,14;249294,96;4736604,18;2354948,56;2381655,62;01.12.2023;12;Декабрь;2023
Средний бизнес;Новосибирск;Победа;Низкая;2241;76,6;112,84;252874,44;12643,72;240230,72;153954,48;86276,24;18.04.2024;4;Апрель;2024
Госсектор;Новосибирск;Победа;Средняя;3572;67,43;134,13;479112,36;57493,48;421618,88;218187,99;203430,89;26.01.2023;1;Январь;2023
Средний бизнес;Санкт-Петербург;Бабаевский;Высокая;10875;224,96;403,04;4383060;964273,2;3418786,8;2379548,02;1039238,78;11.07.2024;7;Июль;2024
Малый бизнес;Казань;Бабаевский;Высокая;9189;238,53;420,99;3868477,11;851064,96;3017412,15;2042668,67;974743,48;16.09.2024;9;Сентябрь;2024
Партнёрский канал;Казань;Вдохновение;Средняя;2603;274,9;506,68;1318888,04;158266,56;1160621,48;681746,61;478874,87;22.10.2023;10;Октябрь;2023
Партнёрский канал;Нижний Новгород;Бабаевский;Средняя;4982;183,67;295,18;1470586,76;176470,41;1294116,35;837540,47;456575,88;01.10.2022;10;Октябрь;2022
Крупный бизнес;Нижний Новгород;Победа;Низкая;11993;75,22;119,26;1430285,18;71514,26;1358770,92;873623,13;485147,79;22.03.2023;3;Март;2023
Крупный бизнес;Екатеринбург;Победа;Низкая;11749;74,3;137,77;1618659,73;80932,99;1537726,74;870995,52;666731,22;31.12.2022;12;Декабрь;2022
Партнёрский канал;Краснодар;Вдохновение;Высокая;6271;282,65;505,13;3167670,23;696887,45;2470782,78;1760304,85;710477,93;04.05.2024;5;Май;2024
Партнёрский канал;Новосибирск;Бабаевский;Высокая;9064;180,44;295,14;2675148,96;588532,77;2086616,19;1449661,77;636954,42;26.04.2022;4;Апрель;2022
Крупный бизнес;Новосибирск;Сударушка;Низкая;11696;93,58;185,25;2166684;108334,2;2058349,8;1053873,97;1004475,83;28.08.2023;8;Август;2023
Крупный бизнес;Москва;Красная Шапочка;Без скидки;2179;115,8;215;468485;0;468485;239062,35;229422,65;05.04.2023;4;Апрель;2023
Партнёрский канал;Нижний Новгород;Сударушка;Низкая;11853;84,43;172,65;2046420,45;102321,02;1944099,43;927200,32;1016899,11;03.10.2023;10;Октябрь;2023
Партнёрский канал;Москва;Аленка;Низкая;3827;119,66;231,63;886448,01;44322,4;842125,61;450801,46;391324,15;07.04.2023;4;Апрель;2023
Средний бизнес;Екатеринбург;Вдохновение;Средняя;5319;334,97;699,28;3719470,32;446336,44;3273133,88;1583822,6;1689311,28;22.12.2022;12;Декабрь;2022
Партнёрский канал;Санкт-Петербург;Бабаевский;Высокая;7520;182,35;282,31;2122971,2;467053,66;1655917,54;1233200,63;422716,91;07.06.2023;6;Июнь;2023
Госсектор;Краснодар;Бабаевский;Средняя;1154;189,19;301,19;347573,26;41708,79;305864,47;193458,59;112405,88;09.09.2023;9;Сентябрь;2023
Малый бизнес;Краснодар;Аленка;Низкая;9108;148,66;221,19;2014598,52;100729,93;1913868,59;1202593,12;711275,47;31.10.2024;10;Октябрь;2024
Крупный бизнес;Нижний Новгород;Победа;Без скидки;2006;74,32;149,57;300037,42;0;300037,42;143062,87;156974,55;10.11.2023;11;Ноябрь;2023
Средний бизнес;Новосибирск;Сударушка;Без скидки;9696;101,69;212,11;2056618,56;0;2056618,56;868709,53;1187909,03;10.12.2023;12;Декабрь;2023
Малый бизнес;Екатеринбург;Вдохновение;Средняя;1153;362,33;576,36;664543,08;79745,17;584797,91;413552,02;171245,89;21.08.2022;8;Август;2022
Малый бизнес;Новосибирск;Победа;Низкая;904;86,07;169,26;153011,04;7650,55;145360,49;71971,34;73389,15;07.11.2024;11;Ноябрь;2024
Малый бизнес;Владивосток;Аленка;Низкая;11174;148,41;257,55;2877863,7;143893,19;2733970,51;1648027,49;1085943,02;09.12.2022;12;Декабрь;2022
Партнёрский канал;Москва;Вдохновение;Высокая;3953;284,48;549,1;2170592,3;477530,31;1693061,99;1106325,11;586736,88;18.05.2024;5;Май;2024
Госсектор;Екатеринбург;Победа;Без скидки;11093;70,31;98,72;1095100,96;0;1095100,96;750564,43;344536,53;18.02.2022;2;Февраль;2022
Малый бизнес;Краснодар;Аленка;Высокая;1700;147,16;286,32;486744;107083,68;379660,32;236905,41;142754,91;12.04.2023;4;Апрель;2023
Средний бизнес;Нижний Новгород;Бабаевский;Без скидки;10825;219,24;348;3767100;0;3767100;2199407,55;1567692,45;31.08.2022;8;Август;2022
Партнёрский канал;Москва;Вдохновение;Высокая;10094;273,92;544,06;5491741,64;1208183,16;4283558,48;2551837,36;1731721,12;26.10.2024;10;Октябрь;2024
Госсектор;Новосибирск;Вдохновение;Низкая;10437;287,1;552,37;5765085,69;288254,28;5476831,41;2794264,81;2682566,6;20.03.2024;3;Март;2024
Госсектор;Владивосток;Сударушка;Средняя;2734;88,69;172,73;472243,82;56669,26;415574,56;238098,35;177476,21;28.08.2023;8;Август;2023
Крупный бизнес;Новосибирск;Вдохновение;Низкая;682;321,03;567,04;386721,28;19336,06;367385,22;195907,13;171478,09;11.01.2022;1;Январь;2022
Партнёрский канал;Нижний Новгород;Победа;Высокая;5492;64,85;123,61;678866,12;149350,55;529515,57;344443,11;185072,46;10.03.2023;3;Март;2023
Малый бизнес;Казань;Сударушка;Средняя;4117;107,15;164,96;679140,32;81496,84;597643,48;394267,87;203375,61;22.04.2022;4;Апрель;2022
Партнёрский канал;Владивосток;Вдохновение;Высокая;5262;284,5;437,57;2302493,34;506548,53;1795944,81;1352859,34;443085,47;24.09.2024;9;Сентябрь;2024
Средний бизнес;Краснодар;Сударушка;Средняя;2139;98,46;138,08;295353,12;35442,37;259910,75;190223,46;69687,29;22.09.2024;9;Сентябрь;2024
Малый бизнес;Краснодар;Победа;Низкая;11861;84,42;149,77;1776421,97;88821,1;1687600,87;924945,26;762655,61;10.10.2023;10;Октябрь;2023
Малый бизнес;Казань;Аленка;Низкая;4533;153,79;289,76;1313482,08;65674,1;1247807,98;667084,2;580723,78;21.07.2023;7;Июль;2023
Средний бизнес;Казань;Вдохновение;Низкая;8363;335,25;542,79;4539352,77;226967,64;4312385,13;2570026,26;1742358,87;11.08.2022;8;Август;2022
Крупный бизнес;Санкт-Петербург;Красная Шапочка;Средняя;9324;112,91;214,55;2000464,2;240055,7;1760408,5;1005602,58;754805,92;04.06.2022;6;Июнь;2022
Госсектор;Москва;Победа;Без скидки;10167;67,81;93,41;949699,47;0;949699,47;628254,38;321445,09;24.08.2024;8;Август;2024
Крупный бизнес;Краснодар;Бабаевский;Средняя;10160;212,94;333,94;3392830,4;407139,65;2985690,75;2024498,01;961192,74;11.11.2024;11;Ноябрь;2024
Госсектор;Нижний Новгород;Красная Шапочка;Высокая;11357;104,14;215,88;2451749,16;539384,82;1912364,34;1180142,47;732221,87;06.12.2022;12;Декабрь;2022
Партнёрский канал;Казань;Бабаевский;Средняя;3435;185,54;329,21;1130836,35;135700,36;995135,99;627555,44;367580,55;27.10.2022;10;Октябрь;2022
Малый бизнес;Краснодар;Аленка;Средняя;8489;148,77;230,34;1955356,26;234642,75;1720713,51;1146824,81;573888,7;28.02.2023;2;Февраль;2023
Партнёрский канал;Краснодар;Бабаевский;Без скидки;7948;189,03;260,85;2073235,8;0;2073235,8;1439043,23;634192,57;31.07.2022;7;Июль;2022
Партнёрский канал;Новосибирск;Вдохновение;Низкая;9980;282,35;417,99;4171540,2;208577,01;3962963,19;2700745,95;1262217,24;19.01.2024;1;Январь;2024
Партнёрский канал;Санкт-Петербург;Победа;Низкая;6665;67,87;102,97;686295,05;34314,75;651980,3;420101,22;231879,08;08.12.2023;12;Декабрь;2023
Малый бизнес;Владивосток;Победа;Высокая;8722;85,93;144,36;1259107,92;277003,74;982104,18;680228,54;301875,64;19.11.2024;11;Ноябрь;2024
Средний бизнес;Екатеринбург;Сударушка;Средняя;3078;98,93;186,78;574908,84;68989,06;505919,78;272289,63;233630,15;17.04.2023;4;Апрель;2023
Малый бизнес;Краснодар;Вдохновение;Высокая;8389;362,17;619,04;5193126,56;1142487,84;4050638,72;2889050,87;1161587,85;21.04.2024;4;Апрель;2024
Госсектор;Екатеринбург;Аленка;Средняя;9896;124,89;181,22;1793353,12;215202,37;1578150,75;1163631,8;414518,95;28.10.2022;10;Октябрь;2022
Госсектор;Казань;Красная Шапочка;Средняя;8964;108,71;195,63;1753627,32;210435,28;1543192,04;923445,61;619746,43;08.02.2022;2;Февраль;2022
Средний бизнес;Санкт-Петербург;Сударушка;Без скидки;10437;102,7;205,45;2144281,65;0;2144281,65;965193,56;1179088,09;21.04.2024;4;Апрель;2024
Партнёрский канал;Казань;Победа;Средняя;10710;66,63;103,17;1104950,7;132594,08;972356,62;689988,62;282368;03.12.2023;12;Декабрь;2023
Малый бизнес;Санкт-Петербург;Сударушка;Без скидки;6815;104,05;141,76;966094,4;0;966094,4;668487,26;297607,14;29.10.2024;10;Октябрь;2024
Малый бизнес;Казань;Победа;Высокая;3406;83,88;151,91;517405,46;113829,2;403576,26;252750,15;150826,11;24.12.2024;12;Декабрь;2024
Партнёрский канал;Санкт-Петербург;Аленка;Без скидки;11303;116,16;209,39;2366735,17;0;2366735,17;1285781,71;1080953,46;02.06.2024;6;Июнь;2024
Партнёрский канал;Нижний Новгород;Красная Шапочка;Высокая;11930;101,38;154,31;1840918,3;405002,03;1435916,27;1180770,12;255146,15;20.02.2024;2;Февраль;2024
Средний бизнес;Санкт-Петербург;Бабаевский;Средняя;4670;220,2;335,67;1567578,9;188109,47;1379469,43;1010941,16;368528,27;04.08.2023;8;Август;2023
Партнёрский канал;Нижний Новгород;Красная Шапочка;Средняя;589;102,47;199;117211;14065,32;103145,68;57298,37;45847,31;30.08.2022;8;Август;2022
Партнёрский канал;Москва;Бабаевский;Средняя;11768;188,17;311,73;3668438,64;440212,64;3228226;1976980,36;1251245,64;22.05.2024;5;Май;2024
Партнёрский канал;Новосибирск;Красная Шапочка;Без скидки;9751;100,38;156,26;1523691,26;0;1523691,26;941290,4;582400,86;22.02.2023;2;Февраль;2023
Малый бизнес;Владивосток;Сударушка;Низкая;9660;106,75;164,43;1588393,8;79419,69;1508974,11;945407,06;563567,05;07.12.2023;12;Декабрь;2023
Малый бизнес;Казань;Вдохновение;Высокая;4264;357,25;669,66;2855430,24;628194,65;2227235,59;1370092,09;857143,5;16.03.2023;3;Март;2023
Партнёрский канал;Нижний Новгород;Красная Шапочка;Высокая;3133;100,53;183,66;575406,78;126589,49;448817,29;307566,58;141250,71;25.10.2022;10;Октябрь;2022
Малый бизнес;Нижний Новгород;Аленка;Высокая;4810;148,68;209,64;1008368,4;221841,05;786527,35;632572,8;153954,55;27.02.2024;2;Февраль;2024
Малый бизнес;Новосибирск;Вдохновение;Высокая;3371;361,42;606,91;2045893,61;450096,59;1595797,02;1101635,13;494161,89;27.11.2024;11;Ноябрь;2024
Средний бизнес;Екатеринбург;Аленка;Средняя;10579;138,94;191,33;2024080,07;242889,61;1781190,46;1335665,16;445525,3;01.01.2022;1;Январь;2022
Крупный бизнес;Санкт-Петербург;Красная Шапочка;Без скидки;6285;116,17;192,16;1207725,6;0;1207725,6;660063,31;547662,29;01.02.2022;2;Февраль;2022
Госсектор;Санкт-Петербург;Победа;Низкая;9660;70,72;113,93;1100563,8;55028,19;1045535,61;680145,57;365390,04;21.07.2023;7;Июль;2023
Крупный бизнес;Екатеринбург;Бабаевский;Без скидки;9919;203,76;301,82;2993752,58;0;2993752,58;1901342,65;1092409,93;29.05.2022;5;Май;2022
Партнёрский канал;Новосибирск;Красная Шапочка;Высокая;8909;103,97;208,68;1859130,12;409008,63;1450121,49;905499,64;544621,85;28.05.2023;5;Май;2023
Малый бизнес;Нижний Новгород;Победа;Без скидки;4485;85,3;176,65;792275,25;0;792275,25;357727,06;434548,19;01.08.2024;8;Август;2024
Партнёрский канал;Москва;Бабаевский;Высокая;4724;180,01;328,56;1552117,44;341465,84;1210651,6;849775,18;360876,42;16.04.2023;4;Апрель;2023
Средний бизнес;Нижний Новгород;Красная Шапочка;Высокая;11982;123,16;189,2;2266994,4;498738,77;1768255,63;1315089,26;453166,37;02.12.2023;12;Декабрь;2023
Госсектор;Казань;Бабаевский;Низкая;6292;189,94;338,15;2127639,8;106381,99;2021257,81;1077903,72;943354,09;25.01.2023;1;Январь;2023
Малый бизнес;Екатеринбург;Сударушка;Средняя;4848;104,53;157,01;761184,48;91342,14;669842,34;461134,39;208707,95;31.12.2023;12;Декабрь;2023
Крупный бизнес;Санкт-Петербург;Аленка;Высокая;11572;138,69;238,48;2759690,56;607131,92;2152558,64;1413605,86;738952,78;28.03.2022;3;Март;2022
Малый бизнес;Краснодар;Победа;Низкая;8566;86,01;172,94;1481404,04;74070,2;1407333,84;699144,32;708189,52;17.07.2023;7;Июль;2023
Малый бизнес;Казань;Победа;Низкая;7018;82,6;147,23;1033260,14;51663,01;981597,13;513891,06;467706,07;16.05.2024;5;Май;2024
Малый бизнес;Москва;Победа;Низкая;6950;85,82;165,8;1152310;57615,5;1094694,5;557598,41;537096,09;04.09.2022;9;Сентябрь;2022
Партнёрский канал;Владивосток;Красная Шапочка;Высокая;693;102,26;167,15;115834,95;25483,69;90351,26;63218,99;27132,27;11.01.2024;1;Январь;2024
Партнёрский канал;Новосибирск;Сударушка;Низкая;4385;82,44;170,56;747905,6;37395,28;710510,32;333002,97;377507,35;12.01.2023;1;Январь;2023
Малый бизнес;Нижний Новгород;Сударушка;Без скидки;11980;108,01;175,39;2101172,2;0;2101172,2;1200886,71;900285,49;12.07.2024;7;Июль;2024
